requirement_id,check,status,timestamp_s,step,vehicle_id,scenario,reason,observed,threshold
EV-CHECK-001,vehicle_wheel_speed_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Vehicle speed and wheel speed are consistent.,0.015000000000000568,2.0
EV-CHECK-002,accelerator_torque_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Accelerator and commanded torque are jointly plausible.,3657.6000000000004,100000.0
EV-CHECK-003,brake_regenerative_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Brake and regenerative-braking states are consistent.,,
EV-CHECK-004,torque_command_feedback_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Torque command and feedback are consistent.,2.3000000000000114,20.0
EV-CHECK-005,battery_soc_plausibility,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,SOC is within laboratory range.,80.0,"{'minimum': 0.0, 'maximum': 100.0}"
EV-CHECK-006,battery_soh_plausibility,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,SOH is within laboratory range.,98.0,"{'minimum': 0.0, 'maximum': 100.0}"
EV-CHECK-007,hv_voltage_plausibility,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,HVVoltage is within laboratory range.,398.8,"{'minimum': 250.0, 'maximum': 450.0}"
EV-CHECK-008,hv_current_plausibility,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,HV current is within laboratory range.,79.7,400.0
EV-CHECK-009,battery_temperature_plausibility,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,BatteryTemperature is within laboratory range.,30.0,"{'minimum': -30.0, 'maximum': 60.0}"
EV-CHECK-010,cell_voltage_deviation,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,CellVoltageDeviation is within laboratory range.,0.012,"{'minimum': 0.0, 'maximum': 0.1}"
EV-CHECK-011,cell_temperature_deviation,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,CellTemperatureDeviation is within laboratory range.,2.0,"{'minimum': 0.0, 'maximum': 10.0}"
EV-CHECK-012,isolation_status,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,HV isolation status indicates valid laboratory state.,1.0,1
EV-CHECK-013,contactor_state_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Contactor state is consistent with available HV state.,,
EV-CHECK-014,precharge_state_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Precharge state is numerically consistent with HV state.,,
EV-CHECK-015,motor_temperature_plausibility,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,MotorTemperature is within laboratory range.,77.0,"{'minimum': -40.0, 'maximum': 150.0}"
EV-CHECK-016,inverter_state_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Inverter state and temperature are consistent.,,
EV-CHECK-017,charging_connector_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Charging and connector states are consistent.,,
EV-CHECK-018,ecu_heartbeat_presence,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Required ECU heartbeats are present.,,
EV-CHECK-019,can_message_timing,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,CAN frame timing is within laboratory tolerance.,0.05,"{'expected': 0.05, 'tolerance': 0.01}"
EV-CHECK-020,sequence_counter_continuity,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Sequence counter value is present; continuity is evaluated at dataset level.,0.0,
EV-CHECK-021,diagnostic_state_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Diagnostic and integrity states are consistent.,,
EV-CHECK-022,command_physical_response_consistency,PASS,0.0,0,EV-LAB-001,NORMAL_BASELINE,Commanded torque and observed torque response are consistent.,2.3000000000000114,20.0
